USN,Email,Password,Department,Semester
01FE25BCS001,01fe25bcs001@studyverse.edu,Welcome@123,CSE,3
01FE25BCS002,01fe25bcs002@studyverse.edu,Welcome@123,CSE,3
01FE25BCS003,01fe25bcs003@studyverse.edu,Welcome@123,CSE,3
01FE25BCS004,01fe25bcs004@studyverse.edu,Welcome@123,CSE,3
01FE25BCS005,01fe25bcs005@studyverse.edu,Welcome@123,CSE,3
01FE25BCS006,01fe25bcs006@studyverse.edu,Welcome@123,CSE,3
01FE25BCS007,01fe25bcs007@studyverse.edu,Welcome@123,CSE,3
01FE25BCS008,01fe25bcs008@studyverse.edu,Welcome@123,CSE,3
01FE25BCS009,01fe25bcs009@studyverse.edu,Welcome@123,CSE,3
01FE25BCS010,01fe25bcs010@studyverse.edu,Welcome@123,CSE,3
01FE25BCS011,01fe25bcs011@studyverse.edu,Welcome@123,CSE,3
01FE25BCS012,01fe25bcs012@studyverse.edu,Welcome@123,CSE,3
01FE25BCS013,01fe25bcs013@studyverse.edu,Welcome@123,CSE,3
01FE25BCS014,01fe25bcs014@studyverse.edu,Welcome@123,CSE,3
01FE25BCS015,01fe25bcs015@studyverse.edu,Welcome@123,CSE,3
01FE25BCS016,01fe25bcs016@studyverse.edu,Welcome@123,CSE,3
01FE25BCS017,01fe25bcs017@studyverse.edu,Welcome@123,CSE,3
01FE25BCS018,01fe25bcs018@studyverse.edu,Welcome@123,CSE,3
01FE25BCS019,01fe25bcs019@studyverse.edu,Welcome@123,CSE,3
01FE25BCS020,01fe25bcs020@studyverse.edu,Welcome@123,CSE,3
01FE25BCS021,01fe25bcs021@studyverse.edu,Welcome@123,CSE,3
01FE25BCS022,01fe25bcs022@studyverse.edu,Welcome@123,CSE,3
01FE25BCS023,01fe25bcs023@studyverse.edu,Welcome@123,CSE,3
01FE25BCS024,01fe25bcs024@studyverse.edu,Welcome@123,CSE,3
01FE25BCS025,01fe25bcs025@studyverse.edu,Welcome@123,CSE,3
01FE25BCS026,01fe25bcs026@studyverse.edu,Welcome@123,CSE,3
01FE25BCS027,01fe25bcs027@studyverse.edu,Welcome@123,CSE,3
01FE25BCS028,01fe25bcs028@studyverse.edu,Welcome@123,CSE,3
01FE25BCS029,01fe25bcs029@studyverse.edu,Welcome@123,CSE,3
01FE25BCS030,01fe25bcs030@studyverse.edu,Welcome@123,CSE,3
01FE25BCS031,01fe25bcs031@studyverse.edu,Welcome@123,CSE,3
01FE25BCS032,01fe25bcs032@studyverse.edu,Welcome@123,CSE,3
01FE25BCS033,01fe25bcs033@studyverse.edu,Welcome@123,CSE,3
01FE25BCS034,01fe25bcs034@studyverse.edu,Welcome@123,CSE,3
01FE25BCS035,01fe25bcs035@studyverse.edu,Welcome@123,CSE,3
01FE25BCS036,01fe25bcs036@studyverse.edu,Welcome@123,CSE,3
01FE25BCS037,01fe25bcs037@studyverse.edu,Welcome@123,CSE,3
01FE25BCS038,01fe25bcs038@studyverse.edu,Welcome@123,CSE,3
01FE25BCS039,01fe25bcs039@studyverse.edu,Welcome@123,CSE,3
01FE25BCS040,01fe25bcs040@studyverse.edu,Welcome@123,CSE,3
